timestamp,from_id,to_id,range,std
1785985334.58,8,0,4.574326038360596,0.1
1785985334.58,8,1,3.9264228343963623,0.1
1785985334.58,8,2,4.307601451873779,0.1
1785985334.58,8,3,4.8688178062438965,0.1
1785985334.58,9,0,4.4175801277160645,0.1
1785985334.58,9,1,4.094677448272705,0.1
1785985334.58,9,2,4.490856170654297,0.1
1785985334.58,9,3,4.587072372436523,0.1
1785985334.59,8,0,4.5793256759643555,0.1
1785985334.59,8,1,3.942422866821289,0.1
1785985334.59,8,2,4.3676018714904785,0.1
1785985334.59,8,3,4.889817714691162,0.1
1785985334.59,9,0,4.406579971313477,0.1
1785985334.59,9,1,4.106677532196045,0.1
1785985334.59,9,2,4.564856052398682,0.1
1785985334.59,9,3,4.643072128295898,0.1
1785985334.6,8,0,4.5793256759643555,0.1
1785985334.6,8,1,3.930422782897949,0.1
1785985334.6,8,2,4.360601902008057,0.1
1785985334.6,8,3,4.866817474365234,0.1
1785985334.6,9,0,4.410579681396484,0.1
1785985334.6,9,1,4.078677177429199,0.1
1785985334.6,9,2,4.504856109619141,0.1
1785985334.6,9,3,4.633072376251221,0.1
1785985334.61,8,0,4.549325942993164,0.1
1785985334.61,8,1,3.9104228019714355,0.1
1785985334.61,8,2,4.349601745605469,0.1
1785985334.61,8,3,4.880817413330078,0.1
1785985334.61,9,0,4.42657995223999,0.1
1785985334.61,9,1,4.1246771812438965,0.1
1785985334.61,9,2,4.610856056213379,0.1
1785985334.61,9,3,4.606071949005127,0.1
1785985334.62,8,0,4.574326038360596,0.1
1785985334.62,8,1,3.942422866821289,0.1
1785985334.62,8,2,4.3916015625,0.1
1785985334.62,8,3,4.88281774520874,0.1
1785985334.62,9,0,4.392580032348633,0.1
1785985334.62,9,1,4.110677242279053,0.1
1785985334.62,9,2,4.497856140136719,0.1
1785985334.62,9,3,4.592072010040283,0.1
1785985334.63,8,0,4.572325706481934,0.1
1785985334.63,8,1,3.9164228439331055,0.1
1785985334.63,8,2,4.330601692199707,0.1
1785985334.63,8,3,4.854817867279053,0.1
1785985334.63,9,0,4.4035797119140625,0.1
1785985334.63,9,1,4.085677623748779,0.1
1785985334.63,9,2,4.5208563804626465,0.1
1785985334.63,9,3,4.636072158813477,0.1
1785985334.64,8,0,4.600326061248779,0.1
1785985334.64,8,1,3.9164228439331055,0.1
1785985334.64,8,2,4.317601680755615,0.1
1785985334.64,8,3,4.852817535400391,0.1
1785985334.64,9,0,4.410579681396484,0.1
1785985334.64,9,1,4.134677410125732,0.1
1785985334.64,9,2,4.52285623550415,0.1
1785985334.64,9,3,4.610072135925293,0.1
1785985334.65,8,0,4.577325820922852,0.1
