timestamp,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1785985334.577505,-0.19854153442382813,0.31801638793945314,0.08899346160888671,-0.007729758920360324,0.0037744428400861073,0.03131112901248667,0.999472672781125
1785985334.577513,-0.19855830383300782,0.31804446411132814,0.08902449035644532,-0.007682048388589494,0.0036176397443490695,0.0314066971391031,0.9994706153338158
1785985334.585106,-0.19854144287109374,0.318047119140625,0.08899372863769531,-0.007606912109536339,0.003699744167719976,0.03133357519417866,0.9994731871422905
1785985334.595850,-0.19853671264648437,0.3180248718261719,0.08897635650634765,-0.0076762889898287015,0.0036727095336192748,0.03129408861798162,0.9994739922288008
1785985334.615582,-0.1985289764404297,0.31803036499023435,0.08901249694824219,-0.0075489640164204536,0.0037087563258665305,0.03128336968506214,0.9994751625848861
1785985334.625684,-0.19854312133789062,0.3180541076660156,0.08902247619628906,-0.007609214903767734,0.0035997218162685187,0.03132721807875926,0.9994737313212065
1785985334.635773,-0.19854916381835938,0.31805154418945314,0.0890120849609375,-0.007575282598521414,0.0036233996956452543,0.031291434754956104,0.9994750358584972
1785985334.654483,-0.1985330810546875,0.31802294921875,0.08899205017089844,-0.007659799199585323,0.003593174474706854,0.03135022862711051,0.99947265041759
1785985334.667867,-0.19854881286621093,0.31804327392578124,0.08900592041015624,-0.0075835418703082405,0.0035267022855987214,0.031385137448526126,0.999472374600618
1785985334.684655,-0.19855110168457032,0.3180587158203125,0.08902401733398438,-0.007490891011854796,0.003549724610036535,0.03147334210401304,0.9994702127892816
1785985334.694788,-0.1985403289794922,0.31803890991210937,0.08899462127685547,-0.007687705000970652,0.003662040933649278,0.031455343902073746,0.9994688858820765
1785985334.706698,-0.19853378295898438,0.31803610229492185,0.08900586700439453,-0.007791439974153879,0.003640507183978865,0.03146036636677184,0.9994679987914457
1785985334.724424,-0.198548583984375,0.3180570068359375,0.08900482940673828,-0.007730780043247627,0.0037121161205123107,0.03130608158169917,0.9994730529611424
1785985334.735094,-0.1985476531982422,0.31806317138671875,0.0890274429321289,-0.007470350736642878,0.003696066154169573,0.03142475069441329,0.99947136824075
1785985334.755382,-0.19854515075683593,0.3180394592285156,0.08900396728515625,-0.0076988634520723164,0.0037678735502655993,0.03127213091092274,0.9994741562278253
1785985334.776668,-0.19854438781738282,0.3180352783203125,0.08902740478515625,-0.007541364476593032,0.0037842034709807287,0.03142628323989744,0.9994704587887384
1785985334.794098,-0.1985564270019531,0.31805047607421877,0.08902698516845703,-0.007600477063292425,0.0034692480447901016,0.03137063671592396,0.9994729038709568
1785985334.804517,-0.19856072998046875,0.3180423889160156,0.08901284790039063,-0.007573547566800418,0.0037237000833214825,0.03131133926214011,0.9994740518648129
1785985334.825033,-0.19854818725585938,0.3180215148925781,0.08901011657714844,-0.0077279714826529325,0.0036127864510575583,0.03132502234203518,0.9994728516893865
1785985334.845028,-0.19854278564453126,0.318057861328125,0.08902190399169922,-0.007601435387654422,0.003613882547862154,0.0312893843090426,0.9994749314955765
1785985334.866007,-0.19855372619628905,0.31803012084960935,0.08900457763671875,-0.007357394541490362,0.003698707405741813,0.031244511247521426,0.999477846198761
1785985334.883997,-0.19853816223144533,0.318024658203125,0.08899921417236328,-0.007673158752309241,0.003731046016452281,0.031422191530954234,0.9994697804264532
1785985334.894148,-0.19853584289550782,0.31805154418945314,0.08900860595703125,-0.007742308155407881,0.003828644320913389,0.03134284018066944,0.9994713756952712
1785985334.904284,-0.1985607147216797,0.3180415344238281,0.08902796936035157,-0.007434312624857631,0.0036469280378076275,0.03151181734715844,0.9994690722455544
1785985334.924328,-0.19853817749023436,0.3180250549316406,0.08899234008789063,-0.007626386294806118,0.0034878605607563287,0.031437550277954904,0.9994705333340164
1785985334.944065,-0.19854336547851562,0.3180456848144531,0.08900152587890625,-0.007784646029470441,0.0035962134717078833,0.03131002106516607,0.9994729411435053
1785985334.954355,-0.19855653381347657,0.31803704833984375,0.08900892639160156,-0.007646027547562324,0.0036111709267093377,0.031379242644667585,0.9994717856938552
1785985334.964298,-0.19856393432617186,0.31804571533203124,0.08901116180419921,-0.0075279990946684906,0.0035078804390096304,0.031322364167044286,0.9994748345871406
1785985334.974342,-0.1985478515625,0.31804226684570314,0.08900406646728516,-0.007509285654832848,0.003519563663278576,0.031391211650159366,0.9994727696897706
1785985334.987253,-0.19853768920898437,0.31804098510742185,0.08899071502685547,-0.007527340351036241,0.0035937765079195032,0.031379900834229445,0.9994727249627046
1785985335.004203,-0.19854212951660155,0.3180345458984375,0.08900191497802734,-0.007614888896849349,0.003737676619643944,0.0313466434813124,0.99947257587247
1785985335.024191,-0.1985497589111328,0.31803887939453124,0.08900603485107422,-0.007556569974128181,0.003501091135270555,0.0314179658643571,0.9994716440579998
1785985335.034222,-0.1985465545654297,0.3180438537597656,0.08900423431396484,-0.0075412133070205355,0.0036759578538935415,0.031339653372263285,0.9994735747766171
1785985335.054218,-0.19852566528320312,0.31803762817382814,0.0889937744140625,-0.0074353779953887705,0.0036758370280666145,0.031403246091925484,0.9994723820551317
1785985335.064046,-0.19854095458984375,0.31803515625,0.08899655914306641,-0.0076090033809578335,0.003734336729643555,0.0313768697933207,0.9994716813305953
1785985335.074470,-0.1985301513671875,0.3180436706542969,0.08900675201416015,-0.007567926555302123,0.003607220111160437,0.03138374557007877,0.9994722478738756
1785985335.084440,-0.19853961181640625,0.31804580688476564,0.08901760864257813,-0.007672881494514877,0.0035070806928593533,0.03141712716099104,0.9994707569698169
1785985335.095073,-0.19853517150878905,0.3180234375,0.0890037841796875,-0.00768912536376244,0.0036939091311748383,0.031471469622115236,0.9994682447914474
1785985335.114176,-0.19852867126464843,0.3180455017089844,0.08900004577636719,-0.007529229715793371,0.003578678108818079,0.03140816709138759,0.9994718751480693
