timestamp,magnetic_field.x,magnetic_field.y,magnetic_field.z
0.14664125442504883,-2.735705375671387e-05,4.939393997192382e-05,-4.7213295102119455e-05
0.16263151168823242,-2.723924517631531e-05,4.968457221984863e-05,-4.804452359676362e-05
0.17464232444763184,-2.7077263593673708e-05,4.952472448348999e-05,-4.732995927333833e-05
0.2066333293914795,-2.725397348403931e-05,4.919049739837646e-05,-4.769453406333924e-05
0.22263121604919434,-2.731287479400635e-05,4.965550899505615e-05,-4.718412756919862e-05
0.230635404586792,-2.776937186717988e-05,4.956831932067871e-05,-4.751953482627869e-05
0.2466294765472412,-2.744540572166443e-05,4.964097738265991e-05,-4.6688309311866767e-05
0.2586233615875244,-2.763684093952179e-05,4.978629350662231e-05,-4.728620946407319e-05
0.2746274471282959,-2.7474856376647952e-05,4.956831932067871e-05,-4.756328463554383e-05
0.2866344451904297,-2.744540572166443e-05,4.968457221984863e-05,-4.7636201977729805e-05
0.3026285171508789,-2.7136167883872988e-05,4.929221570491791e-05,-4.789869189262391e-05
0.318622350692749,-2.728342413902283e-05,4.955378770828246e-05,-4.775286316871644e-05
0.331451416015625,-2.7033087611198427e-05,4.9335813522338864e-05,-4.74903702735901e-05
0.3474154472351074,-2.718034386634827e-05,4.971363246440887e-05,-4.727162718772889e-05
0.3594202995300293,-2.7077263593673708e-05,4.958285093307495e-05,-4.7402873635292064e-05
0.37541747093200684,-2.7047812938690188e-05,4.943753480911255e-05,-4.692163765430452e-05
0.40741634368896484,-2.7047812938690188e-05,4.914690256118774e-05,-4.732995927333833e-05
0.41552138328552246,-2.7150893211364748e-05,4.914690256118774e-05,-4.7300794720649726e-05
0.43142247200012207,-2.7327603101730348e-05,4.9234092235565184e-05,-4.706746637821199e-05
0.4474313259124756,-2.769574224948884e-05,4.965550899505615e-05,-4.728620946407319e-05
0.45941948890686035,-2.748958468437195e-05,4.969910383224487e-05,-4.706746637821199e-05
0.47542333602905273,-2.734232842922211e-05,4.926315546035766e-05,-4.709663093090058e-05
0.4874262809753418,-2.7327603101730348e-05,4.946659803390503e-05,-4.719870984554292e-05
0.5034322738647461,-2.7327603101730348e-05,4.939393997192382e-05,-4.76507842540741e-05
0.5194144248962402,-2.7754646539688112e-05,4.910330772399902e-05,-4.719870984554292e-05
0.5354235172271729,-2.7150893211364748e-05,4.962644577026367e-05,-4.684872031211854e-05
0.5514264106750488,-2.7018362283706667e-05,4.927768707275391e-05,-4.6775805950164806e-05
0.5595583915710449,-2.7091991901397707e-05,4.953925609588623e-05,-4.737370908260346e-05
0.5754134654998779,-2.723924517631531e-05,4.953925609588623e-05,-4.697996973991395e-05
0.5874314308166504,-2.6679667830467227e-05,4.974270164966583e-05,-4.75049525499344e-05
0.6035184860229492,-2.6944732666015627e-05,4.961191415786743e-05,-4.727162718772889e-05
0.6194164752960205,-2.7062538266181948e-05,4.961191415786743e-05,-4.74612057209015e-05
0.6314244270324707,-2.7018362283706667e-05,4.940847158432006e-05,-4.692163765430452e-05
0.6474673748016357,-2.723924517631531e-05,4.953925609588623e-05,-4.692163765430452e-05
0.6594142913818359,-2.6959457993507388e-05,4.930675029754638e-05,-4.762161970138551e-05
0.6754155158996582,-2.6576590538024904e-05,4.962644577026367e-05,-4.7388291358947766e-05
0.6874244213104248,-2.6930007338523867e-05,4.924862384796142e-05,-4.722787737846375e-05
0.703423261642456,-2.7121442556381227e-05,4.945206642150878e-05,-4.68049705028534e-05
0.7195374965667725,-2.718034386634827e-05,4.889986515045165e-05,-4.7388291358947766e-05
0.7354133129119873,-2.729814946651459e-05,4.939393997192382e-05,-4.74757879972458e-05
0.7474138736724854,-2.725397348403931e-05,4.897252023220062e-05,-4.715496301651002e-05
0.7674438953399658,-2.726869881153107e-05,4.90597128868103e-05,-4.732995927333833e-05
0.7754189968109131,-2.7739921212196352e-05,4.927768707275391e-05,-4.773828089237214e-05
0.80741286277771,-2.6988908648490908e-05,4.914690256118774e-05,-4.6877887845039376e-05
0.815424919128418,-2.7327603101730348e-05,4.901611804962158e-05,-4.794244170188905e-05
0.8322689533233643,-2.7916631102561952e-05,4.921956062316894e-05,-4.772369861602784e-05
0.8442249298095703,-2.728342413902283e-05,4.929221570491791e-05,-4.769453406333924e-05
0.8602161407470703,-2.728342413902283e-05,4.910330772399902e-05,-4.737370908260346e-05
0.8762257099151611,-2.716561853885651e-05,4.908877611160278e-05,-4.772369861602784e-05
0.8882369995117188,-2.7136167883872988e-05,4.9495661258697504e-05,-4.7023716568946846e-05
0.9082241058349609,-2.7136167883872988e-05,4.908877611160278e-05,-4.661539494991303e-05
0.9202497005462646,-2.729814946651459e-05,4.9234092235565184e-05,-4.753412008285524e-05
0.9323370456695557,-2.6812201738357543e-05,4.895799160003662e-05,-4.7388291358947766e-05
0.9482500553131104,-2.734232842922211e-05,4.916143417358398e-05,-4.7388291358947766e-05
0.9602241516113281,-2.729814946651459e-05,4.9045178294181816e-05,-4.7300794720649726e-05
0.9762499332427979,-2.7077263593673708e-05,4.913236796855926e-05,-4.709663093090058e-05
0.9882309436798096,-2.6974183320999148e-05,4.865282475948333e-05,-4.8000776767730725e-05
1.0042529106140137,-2.7091991901397707e-05,4.89143967628479e-05,-4.757786691188813e-05
1.0202200412750244,-2.7106717228889467e-05,4.9030649662017816e-05,-4.6644559502601634e-05
1.032339096069336,-2.7327603101730348e-05,4.921956062316894e-05,-4.74612057209015e-05
1.0522172451019287,-2.6768025755882265e-05,4.884173870086669e-05,-4.728620946407319e-05
1.060373306274414,-2.6782751083374025e-05,4.8870801925659176e-05,-4.7125795483589184e-05
1.0763373374938965,-2.7327603101730348e-05,4.859470129013061e-05,-4.674664139747621e-05
1.0882582664489746,-2.725397348403931e-05,4.89143967628479e-05,-4.731537699699403e-05
1.1043462753295898,-2.7077263593673708e-05,4.927768707275391e-05,-4.731537699699403e-05
1.1202313899993896,-2.734232842922211e-05,4.939393997192382e-05,-4.7402873635292064e-05
1.1322643756866455,-2.7003636956214907e-05,4.964097738265991e-05,-4.7213295102119455e-05
1.1522483825683594,-2.734232842922211e-05,4.965550899505615e-05,-4.7402873635292064e-05
1.164217233657837,-2.757793962955475e-05,4.943753480911255e-05,-4.7213295102119455e-05
1.176253318786621,-2.726869881153107e-05,4.8987054824829095e-05,-4.7052884101867687e-05
1.188225507736206,-2.7150893211364748e-05,4.916143417358398e-05,-4.674664139747621e-05
1.2042262554168701,-2.731287479400635e-05,4.9030649662017816e-05,-4.7052884101867687e-05
1.2203402519226074,-2.716561853885651e-05,4.90597128868103e-05,-4.741745591163636e-05
1.232351303100586,-2.734232842922211e-05,4.90597128868103e-05,-4.74466234445572e-05
1.2483465671539307,-2.734232842922211e-05,4.860923290252685e-05,-4.773828089237214e-05
1.2602224349975586,-2.7106717228889467e-05,4.932128190994262e-05,-4.75049525499344e-05
1.2762253284454346,-2.731287479400635e-05,4.916143417358398e-05,-4.708204865455628e-05
1.3010334968566895,-2.750431001186371e-05,4.946659803390503e-05,-4.703829884529114e-05
1.3170225620269775,-2.722451984882355e-05,4.956831932067871e-05,-4.743203818798066e-05
1.3370325565338135,-2.7136167883872988e-05,4.8870801925659176e-05,-4.708204865455628e-05
1.3490235805511475,-2.6797476410865786e-05,4.932128190994262e-05,-4.6877887845039376e-05
1.3610405921936035,-2.723924517631531e-05,4.930675029754638e-05,-4.700913429260255e-05
1.3731005191802979,-2.6974183320999148e-05,4.900158643722534e-05,-4.681955575942994e-05
1.3930344581604004,-2.750431001186371e-05,4.919049739837646e-05,-4.671747386455537e-05
1.4050226211547852,-2.763684093952179e-05,4.939393997192382e-05,-4.715496301651002e-05
1.4170446395874023,-2.731287479400635e-05,4.921956062316894e-05,-4.709663093090058e-05
