# time x y z qx qy qz qw
1785982570.200000048 -0.078365271 -0.041374855 -0.043611976 -0.001358576 0.000873490 0.005436329 0.999983919
1785982570.210000038 -0.079744870 -0.042146882 -0.044925436 -0.001344500 0.000853777 0.005797677 0.999981925
1785982570.220000029 -0.080890543 -0.042797204 -0.046216048 -0.001337538 0.001012983 0.006149109 0.999979686
1785982570.230000019 -0.081859404 -0.043380924 -0.047496036 -0.001406378 0.001051065 0.006499169 0.999977339
1785982570.240000010 -0.082731858 -0.043949551 -0.048775831 -0.001412087 0.001114183 0.006797418 0.999975280
1785982570.250000000 -0.083506256 -0.044512697 -0.050046683 -0.001478570 0.001064923 0.007049095 0.999973495
1785982570.259999990 -0.084152852 -0.045073386 -0.051288327 -0.001506123 0.001074024 0.007298415 0.999971655
1785982570.269999981 -0.084685409 -0.045629491 -0.052500197 -0.001502056 0.001046834 0.007643158 0.999969115
1785982570.279999971 -0.085046442 -0.046195407 -0.053705936 -0.001523458 0.001053192 0.008021450 0.999966113
1785982570.289999962 -0.085171967 -0.046767181 -0.054904148 -0.001533054 0.001148807 0.008449280 0.999962469
1785982570.299999952 -0.085146807 -0.047324345 -0.056083774 -0.001575988 0.001158171 0.008705454 0.999960194
1785982570.309999943 -0.085031412 -0.047871528 -0.057236654 -0.001599565 0.001191567 0.009057489 0.999956991
1785982570.319999933 -0.084845232 -0.048413077 -0.058349651 -0.001628954 0.001200399 0.009260775 0.999955071
1785982570.329999924 -0.084607201 -0.048946201 -0.059351709 -0.001691272 0.001204293 0.009586929 0.999951889
1785982570.339999914 -0.084305715 -0.049451151 -0.060134967 -0.001745858 0.001273837 0.009922678 0.999948434
1785982570.349999905 -0.083945029 -0.049899975 -0.060756723 -0.001793969 0.001215783 0.010373068 0.999943850
1785982570.359999895 -0.083538599 -0.050298895 -0.061309222 -0.001795616 0.001220104 0.010673943 0.999940675
1785982570.369999886 -0.083089172 -0.050662483 -0.061799900 -0.001857787 0.001185856 0.010941289 0.999937713
1785982570.380000114 -0.082613975 -0.050988401 -0.062202823 -0.001920241 0.001174801 0.011184228 0.999934921
1785982570.390000105 -0.082123413 -0.051268932 -0.062501893 -0.001990778 0.001180207 0.011417797 0.999932137
1785982570.400000095 -0.081610875 -0.051488864 -0.062669949 -0.002056949 0.001224697 0.011803442 0.999927471
1785982570.410000086 -0.081059210 -0.051597103 -0.062616784 -0.002136495 0.001223802 0.012023177 0.999924688
1785982570.420000076 -0.080474460 -0.051555731 -0.062387086 -0.002194997 0.001274183 0.012360943 0.999920380
1785982570.430000067 -0.079872268 -0.051409460 -0.062095002 -0.002246534 0.001274349 0.012639339 0.999916785
1785982570.440000057 -0.079260804 -0.051208422 -0.061722414 -0.002296998 0.001266724 0.012904212 0.999913296
1785982570.450000048 -0.078650123 -0.050969074 -0.061246813 -0.002405706 0.001278826 0.013280092 0.999908104
1785982570.460000038 -0.078046015 -0.050705334 -0.060672853 -0.002433733 0.001262386 0.013540552 0.999904564
1785982570.470000029 -0.077444624 -0.050416741 -0.060023186 -0.002475236 0.001272433 0.013757221 0.999901492
1785982570.480000019 -0.076848452 -0.050091041 -0.059349338 -0.002560672 0.001299493 0.013977083 0.999898193
1785982570.490000010 -0.076253937 -0.049731939 -0.058678673 -0.002624307 0.001253352 0.014349070 0.999892817
1785982570.500000000 -0.075663083 -0.049342938 -0.058016881 -0.002661333 0.001255066 0.014664896 0.999888135
1785982570.509999990 -0.075086910 -0.048929563 -0.057343234 -0.002694776 0.001318807 0.014875165 0.999884858
1785982570.519999981 -0.074533146 -0.048507428 -0.056654961 -0.002770413 0.001355043 0.015119837 0.999880933
1785982570.529999971 -0.074011016 -0.048103245 -0.055962255 -0.002833056 0.001401564 0.015395179 0.999876491
1785982570.539999962 -0.073511931 -0.047730702 -0.055275083 -0.002924735 0.001400590 0.015557751 0.999873712
1785982570.549999952 -0.073012052 -0.047378283 -0.054605439 -0.003020902 0.001463500 0.015829355 0.999869073
1785982570.559999943 -0.072495881 -0.047032627 -0.053955884 -0.003110186 0.001506825 0.016103473 0.999864358
1785982570.569999933 -0.071961742 -0.046674964 -0.053307764 -0.003186088 0.001492327 0.016393207 0.999859432
1785982570.579999924 -0.071410828 -0.046302358 -0.052658542 -0.003254075 0.001450519 0.016519916 0.999857189
1785982570.589999914 -0.070853059 -0.045924770 -0.052030934 -0.003281908 0.001493555 0.016787930 0.999852571
1785982570.599999905 -0.070301440 -0.045543727 -0.051435140 -0.003333697 0.001517983 0.017006858 0.999848663
1785982570.609999895 -0.069766574 -0.045154858 -0.050865736 -0.003387353 0.001548222 0.017208704 0.999844983
1785982570.619999886 -0.069270844 -0.044741297 -0.050304975 -0.003483781 0.001471055 0.017487703 0.999839927
1785982570.630000114 -0.068817537 -0.044293884 -0.049737839 -0.003497972 0.001546655 0.017787223 0.999834480
1785982570.640000105 -0.068401475 -0.043805831 -0.049155422 -0.003538000 0.001576208 0.018043591 0.999829699
1785982570.650000095 -0.068115526 -0.043297729 -0.048562682 -0.003548078 0.001664159 0.018390614 0.999823198
1785982570.660000086 -0.068053441 -0.042803400 -0.047972368 -0.003596752 0.001608818 0.018529502 0.999820550
1785982570.670000076 -0.068211051 -0.042314020 -0.047385207 -0.003663894 0.001593899 0.018633194 0.999818403
1785982570.680000067 -0.068530102 -0.041826249 -0.046801897 -0.003714086 0.001562071 0.018824173 0.999814691
1785982570.690000057 -0.068925884 -0.041338122 -0.046236577 -0.003771539 0.001640822 0.019076072 0.999809575
1785982570.700000048 -0.069363167 -0.040842099 -0.045688087 -0.003823635 0.001665951 0.019328565 0.999804486
1785982570.710000038 -0.069829674 -0.040361232 -0.045146489 -0.003866389 0.001716786 0.019583367 0.999799278
1785982570.720000029 -0.070298019 -0.039918703 -0.044598299 -0.003888460 0.001715258 0.019817669 0.999794578
1785982570.730000019 -0.070755132 -0.039522133 -0.044035926 -0.003933818 0.001720913 0.019975415 0.999791251
1785982570.740000010 -0.071188761 -0.039185088 -0.043465919 -0.003981876 0.001698981 0.020217892 0.999786225
1785982570.750000000 -0.071592906 -0.038920552 -0.042893370 -0.004023276 0.001723388 0.020426688 0.999781773
1785982570.759999990 -0.071966944 -0.038747504 -0.042326496 -0.004081292 0.001765550 0.020625632 0.999777380
1785982570.769999981 -0.072301709 -0.038659381 -0.041768955 -0.004147625 0.001757790 0.020971810 0.999769919
1785982570.779999971 -0.072591372 -0.038619073 -0.041221518 -0.004200390 0.001678113 0.021206325 0.999764889
1785982570.789999962 -0.072819848 -0.038601919 -0.040669050 -0.004293564 0.001678248 0.021521848 0.999757750
1785982570.799999952 -0.072991627 -0.038603646 -0.040118480 -0.004347553 0.001659373 0.021744799 0.999752724
1785982570.809999943 -0.073141066 -0.038622519 -0.039659181 -0.004423780 0.001723548 0.022073918 0.999745068
1785982570.819999933 -0.073277991 -0.038647895 -0.039309621 -0.004516761 0.001783553 0.022375179 0.999737850
1785982570.829999924 -0.073416010 -0.038672624 -0.039012268 -0.004519088 0.001783520 0.022612958 0.999732490
1785982570.839999914 -0.073569149 -0.038688939 -0.038739042 -0.004529621 0.001818695 0.023057571 0.999722223
1785982570.849999905 -0.073729171 -0.038686367 -0.038493306 -0.004568623 0.001827190 0.023345136 0.999715356
