timestamp,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1785983341.656004,0.168469970703125,-0.02777309799194336,0.09637798309326172,0.0004638775945607963,-0.00017421590409155317,-0.5036946484166738,0.8638816187164416
1785983341.656292,0.16848310852050782,-0.027756549835205077,0.09637425231933594,0.00038503277560644284,0.00012841344361704432,-0.5037090848468604,0.8638732485609222
1785983341.656584,0.16847486877441406,-0.02777512550354004,0.0963895263671875,0.0003915004718391801,9.663116434785243e-05,-0.503647979797545,0.86390888476578
1785983341.671728,0.16846505737304687,-0.0277703857421875,0.09638445281982422,0.00043041976063065696,-3.249811791829627e-05,-0.5036883984600884,0.8638852970744372
1785983341.690943,0.1684777374267578,-0.02773606491088867,0.09638925170898438,0.00039755261447515177,-1.9035081607870425e-05,-0.5037419345911361,0.8638540973745333
1785983341.710788,0.16847294616699218,-0.02776421546936035,0.09639366149902344,0.00035243012360132756,5.746612432689215e-05,-0.503764161049878,0.8638411557447344
1785983341.720702,0.16846585083007812,-0.02776359748840332,0.09638382720947265,0.0004217657916112595,8.562565552252255e-07,-0.5037265689497605,0.8638630541970582
1785983341.730985,0.1684768524169922,-0.027742668151855467,0.09638668060302734,0.00023103376100010685,-2.2084461861386783e-05,-0.50385269803578,0.8637895597957508
1785983341.750736,0.16845262145996093,-0.027784914016723634,0.09638459777832031,0.0005117857457498703,0.0001787454760986069,-0.503831172122578,0.8638019760533518
1785983341.760854,0.16845877075195312,-0.027784448623657226,0.09638618469238282,0.0005251394401907507,0.00010022015325608325,-0.5038105906359951,0.8638139867475161
1785983341.771609,0.16846633911132813,-0.027765613555908203,0.09638207244873047,0.00036649475840686485,4.789027073680669e-05,-0.5037911701793296,0.863825397830428
1785983341.790936,0.16846803283691406,-0.027757200241088867,0.09639435577392579,0.00025002153586104955,2.2030739834482527e-05,-0.5037766488887372,0.8638339107623615
1785983341.811158,0.168468017578125,-0.027761686325073243,0.09638744354248047,0.00034650544797325906,8.769652850726841e-05,-0.503822125981742,0.8638073409944708
1785983341.822201,0.16846687316894532,-0.027762815475463866,0.0963800048828125,0.000300102173706382,2.623186469505237e-05,-0.5037415023321064,0.8638543949305525
1785983341.840903,0.1684519348144531,-0.027783445358276367,0.09638511657714843,0.0007122909699762665,0.00020980024505114905,-0.5036564273343925,0.8639037145024427
1785983341.851087,0.16847914123535157,-0.02776549530029297,0.09639056396484375,0.0004896229463168296,7.638582104018078e-05,-0.5038230125459117,0.8638067674131285
1785983341.861045,0.1684796600341797,-0.027744714736938476,0.09639188385009766,0.00021380354153369174,9.619853626449977e-05,-0.5037866013858386,0.8638281147327131
1785983341.872704,0.16846929931640625,-0.02776375961303711,0.09638323974609375,0.00032239945388695326,1.4067711108561705e-05,-0.5038111724573292,0.8638137581793116
1785983341.890923,0.16845889282226562,-0.02779255485534668,0.09637882232666016,0.0006287753420550253,0.00010229689204580589,-0.5038186289416057,0.8638092256161998
1785983341.910806,0.168468994140625,-0.027778907775878905,0.09638116455078125,0.00041027064986892816,6.372689726385445e-05,-0.5037719425564834,0.8638365974504133
