timestamp,from_id,to_id,range,std
1785983341.66,8,0,4.586325645446777,0.1
1785983341.66,8,1,4.524422645568848,0.1
1785983341.66,8,2,4.076601505279541,0.1
1785983341.66,8,3,4.260817527770996,0.1
1785983341.66,9,0,4.297579765319824,0.1
1785983341.66,9,1,4.4366774559021,0.1
1785983341.66,9,2,4.467856407165527,0.1
1785983341.66,9,3,4.28707218170166,0.1
1785983341.67,8,0,4.618325710296631,0.1
1785983341.67,8,1,4.519423007965088,0.1
1785983341.67,8,2,4.042601585388184,0.1
1785983341.67,8,3,4.237817764282227,0.1
1785983341.67,9,0,4.31358003616333,0.1
1785983341.67,9,1,4.446677207946777,0.1
1785983341.67,9,2,4.4468560218811035,0.1
1785983341.67,9,3,4.301072120666504,0.1
1785983341.68,8,0,4.584325790405273,0.1
1785983341.68,8,1,4.566422939300537,0.1
1785983341.68,8,2,4.019601821899414,0.1
1785983341.68,8,3,4.223817825317383,0.1
1785983341.68,9,0,4.2865800857543945,0.1
1785983341.68,9,1,4.4436774253845215,0.1
1785983341.68,9,2,4.4448561668396,0.1
1785983341.68,9,3,4.289072036743164,0.1
1785983341.69,8,0,4.586325645446777,0.1
1785983341.69,8,1,4.506422996520996,0.1
1785983341.69,8,2,3.977602005004883,0.1
1785983341.69,8,3,4.214817523956299,0.1
1785983341.69,9,0,4.2925801277160645,0.1
1785983341.69,9,1,4.40667724609375,0.1
1785983341.69,9,2,4.418856143951416,0.1
1785983341.69,9,3,4.280072212219238,0.1
1785983341.7,8,0,4.595325946807861,0.1
1785983341.7,8,1,4.531423091888428,0.1
1785983341.7,8,2,4.000601768493652,0.1
1785983341.7,8,3,4.284817695617676,0.1
1785983341.7,9,0,4.304579734802246,0.1
1785983341.7,9,1,4.455677509307861,0.1
1785983341.7,9,2,4.4608564376831055,0.1
1785983341.7,9,3,4.2710723876953125,0.1
1785983341.71,8,0,4.628325939178467,0.1
1785983341.71,8,1,4.53842306137085,0.1
1785983341.71,8,2,3.9826018810272217,0.1
1785983341.71,8,3,4.265817642211914,0.1
