timestamp,angular_velocity.x,angular_velocity.y,angular_velocity.z,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z
1785982569.9327943,0.0006895116530358791,-0.0005398718058131635,-0.0001883752411231398,0.11758929491043091,-0.12046894431114077,9.792115211486816
1785982569.9485688,0.0011292989365756512,-0.00026439310749992777,-0.004056203179061413,0.0985545665025711,-0.12368865311145662,9.823342323303223
1785982569.9694064,0.0003727097064256668,0.0012820898555219167,-0.004703469108790159,0.10201109945774078,-0.09187234938144563,9.81496524810791
1785982569.990618,0.0017010783776640892,0.001780495047569275,-7.266225293278716e-05,0.09909431636333466,-0.12351091206073642,9.792516708374023
1785982570.0091622,0.0015261564403772354,0.000411754532251507,-0.0006203013472259045,0.1038893610239029,-0.1270827353000629,9.80578899383545
1785982570.031675,0.0007435553707182407,-0.0008118070545606317,-0.0020890086889266968,0.1111142486333847,-0.14309757947921634,9.785576820373535
1785982570.0507264,-0.00281622726470232,0.001059033442288637,-0.0020558550022542477,0.1357678323984146,-0.1158384233713138,9.817523002624512
1785982570.0685842,-0.0034544593654572964,0.0009456914267502722,-0.0029790177941322327,0.10184527933597565,-0.06787383556365847,9.794718742370605
1785982570.089733,0.0008506444282829762,0.004172947723418474,-0.0008465794962830847,0.09051699936389923,-0.09248775988817094,9.838166236877441
1785982570.1095083,-0.0025651054456830025,-0.00021962187020108085,0.0015556736616417766,0.11009030044078827,-0.13608792424201846,9.818771362304688
1785982570.13042,0.002266367431730032,-0.002830365207046271,-0.003981371410191059,0.12331502139568329,-0.0840160921215999,9.826637268066406
1785982570.1494658,0.0018027680926024914,0.0014331855345517395,-0.00105397729203105,0.10242299735546112,-0.10602781921625017,9.823593139648438
1785982570.169207,-0.0008572123479098082,0.0012478008866310115,-0.0030737346969544888,0.10437585413455963,-0.0945930853486049,9.815275192260742
1785982570.190513,-0.00013116607442498207,0.0011018302757292988,0.001537132426165044,0.11711688339710236,-0.08418775349855302,9.808138847351074
1785982570.2086546,0.0023480476811528206,-0.0009260996594093742,-0.0014017033390700815,0.1411498636007309,-0.10074883699416994,9.80441951751709
1785982570.2314792,0.00022530928254127502,0.0013251821510493755,-0.0002799513167701663,0.1460115760564804,-0.10959885269403337,9.810917854309082
1785982570.2494383,-0.001244603656232357,0.0007924867677502333,-0.0004827808006666602,0.10067005455493927,-0.10107194632291673,9.837626457214355
1785982570.2684112,-0.002790616825222969,-0.0006764518911950293,-0.0024784663692116737,0.11008809506893158,-0.1208183392882335,9.808222770690918
