timestamp,from_id,to_id,range,std
1785982569.77,8,0,4.4573259353637695,0.1
1785982569.77,8,1,4.242423057556152,0.1
1785982569.77,8,2,4.416601657867432,0.1
1785982569.77,8,3,4.515817642211914,0.1
1785982569.77,9,0,4.320580005645752,0.1
1785982569.77,9,1,4.4366774559021,0.1
1785982569.77,9,2,4.508856296539307,0.1
1785982569.77,9,3,4.291072368621826,0.1
1785982569.77,8,0,4.450325965881348,0.1
1785982569.77,8,1,4.254422664642334,0.1
1785982569.77,8,2,4.467601776123047,0.1
1785982569.77,8,3,4.54281759262085,0.1
1785982569.77,9,0,4.320580005645752,0.1
1785982569.77,9,1,4.4366774559021,0.1
1785982569.77,9,2,4.490856170654297,0.1
1785982569.77,9,3,4.303071975708008,0.1
1785982569.77,8,0,4.4633259773254395,0.1
1785982569.77,8,1,4.249423027038574,0.1
1785982569.77,8,2,4.4276018142700195,0.1
1785982569.77,8,3,4.482817649841309,0.1
1785982569.77,9,0,4.339580059051514,0.1
1785982569.77,9,1,4.4436774253845215,0.1
1785982569.77,9,2,4.474856376647949,0.1
1785982569.77,9,3,4.303071975708008,0.1
1785982569.77,9,0,4.297579765319824,0.1
1785982569.77,9,1,4.450677394866943,0.1
1785982569.77,9,2,4.439856052398682,0.1
1785982569.77,9,3,4.294072151184082,0.1
1785982569.77,8,0,4.5193257331848145,0.1
1785982569.77,8,1,4.245422840118408,0.1
1785982569.77,8,2,4.439601898193359,0.1
1785982569.77,8,3,4.521817684173584,0.1
1785982569.77,9,0,4.29557991027832,0.1
1785982569.77,9,1,4.41867733001709,0.1
1785982569.77,9,2,4.499855995178223,0.1
1785982569.77,9,3,4.291072368621826,0.1
1785982569.77,8,0,4.468325614929199,0.1
1785982569.77,8,1,4.265422821044922,0.1
1785982569.77,8,2,4.490601539611816,0.1
1785982569.77,8,3,4.510817527770996,0.1
1785982569.77,8,0,4.505325794219971,0.1
1785982569.77,8,1,4.268423080444336,0.1
1785982569.77,8,2,4.444601535797119,0.1
1785982569.77,8,3,4.461817741394043,0.1
1785982569.77,9,0,4.258579730987549,0.1
1785982569.77,9,1,4.471677303314209,0.1
1785982569.77,9,2,4.5528564453125,0.1
1785982569.77,9,3,4.2710723876953125,0.1
1785982569.78,8,0,4.496325969696045,0.1
1785982569.78,8,1,4.238422870635986,0.1
1785982569.78,8,2,4.455601692199707,0.1
1785982569.78,8,3,4.503817558288574,0.1
1785982569.78,9,0,4.299580097198486,0.1
1785982569.78,9,1,4.415677547454834,0.1
1785982569.78,9,2,4.52285623550415,0.1
1785982569.78,9,3,4.28707218170166,0.1
1785982569.79,8,0,4.494325637817383,0.1
1785982569.79,8,1,4.2314229011535645,0.1
1785982569.79,8,2,4.411601543426514,0.1
1785982569.79,8,3,4.480817794799805,0.1
1785982569.79,9,0,4.265579700469971,0.1
1785982569.79,9,1,4.478677272796631,0.1
1785982569.79,9,2,4.506856441497803,0.1
1785982569.79,9,3,4.301072120666504,0.1
1785982569.8,8,0,4.480325698852539,0.1
1785982569.8,8,1,4.245422840118408,0.1
1785982569.8,8,2,4.460601806640625,0.1
1785982569.8,8,3,4.471817493438721,0.1
1785982569.8,9,0,4.3435797691345215,0.1
1785982569.8,9,1,4.459677219390869,0.1
